sents,NER_tag,intent
how does a person use the new health insurance exchanges before the age of 65?,O O O O O O O O O O O O O O O,other
how to remove sexual intercourse?,O O O O O,other
are oils that the human body naturally produces flammable?,O O O O O O O O O,other
im breast feeding can i smoke marijuana?,O O O O O O O,other
what does pc mean after an opthamologist?,O O O O O O O,other
why would a woman who has just had a baby need more water?,O O O O O O O O O O O O O,other
will the aca have any change at all for those on medicare? why are our premiums going up so much?,O O O O O O O O O O O O O O O O O O O O,other
where do i find a drug counseling near myakka city fl 34251. no insurance,O O O O O O O O O O O O O O,other
i am a 52-year-old woman unemployed and have lived with my parents all my life. i can't afford health insurance. how can i get health insurance?,O O O O O O O O O O O O O O O O O O O O O O O O O O,other
i had my tubes tied cut and burned can that be reversed. i want to have a baby again but my tubes were tied cut and burned can it be reversed so i can have another baby.,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,treatment plan
will birth controls be covered by the affordable care act as a preventative if you are still a virgin?,O O O O O O O O O O O O O O O O O O O,treatment plan
i am fully insured with my wife's company. am i good to go?,O O O O O O O O O O O O O,other
how can i learn about the types of financial aid available to help pay for health insurance? . i am not insured and do not have income and am 70 years old. i am not eligible for medicare.,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,other
a recent legal immigrant is 70 years old and has never worked in the u. s. can he apply for obamacare through the marketplace?,O O O O O O O O O O O O O O O O O O O O O O O O,other
what product must i use to have clear and smooth skin?,O O O O O O O O O O O,other
i wear a mineral powder makeup foundation that has an spf 15. is this enough coverage for my face?,O O O O O O O O O O O O O O O O O O O,other
is it ok to use soap on my face when i take a shower or should i be using something else?,O O O O O O O O O O O O O O O O O O O O O,other
do you recommend razors compared to electric shavers one better than the other?,O O O O O O O O O O O O O,other
are you restricted from canceling a health insurance policy anytime before jan. 1 because of inability to pay premiums? . can you then still apply for coverage as an uninsured person before jan. 1?,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,other
how does peppers help to burn fat. i know eating hot peppers will cause thermogenics within the body. does the thermogenics reaction cause your metabolism to speed up or just heat the body?,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,other
are there any changes to medicare advantage plans hmo versus ppo because of the aca?,O O O O O O O O O O O O O O O,other
is a whirlpool sauna or hot tub covered by medicare?,O O O O O O O O O O,other
does the aca have provisions and/or coverage for people on medicare to cover the 20% differential needed?,O O O O O O O O O O O O O O O O O,other
